"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/02/2022","192,97","193,58","194,35","192,07","10,68B","-0,26%"
"16/02/2022","193,47","193,08","194,09","193,03","12,12B","0,44%"
"15/02/2022","192,63","191,54","192,63","191,28","9,40B","0,60%"
"14/02/2022","191,47","192,96","193,16","190,45","11,31B","-1,18%"
"11/02/2022","193,77","195,04","195,30","193,09","10,28B","-0,55%"
"10/02/2022","194,84","194,43","195,56","194,15","14,30B","0,66%"
"09/02/2022","193,56","193,22","193,60","192,75","13,39B","0,44%"
"08/02/2022","192,71","194,30","194,94","192,58","12,25B","-0,83%"
"07/02/2022","194,32","192,39","194,56","192,38","11,68B","1,09%"
"04/02/2022","192,23","190,71","192,23","190,31","7,81B","0,99%"
"03/02/2022","190,34","190,98","191,31","189,10","10,38B","-0,27%"
"02/02/2022","190,85","189,12","191,11","189,12","10,94B","0,91%"
"31/01/2022","189,12","188,37","189,32","188,29","10,44B","0,40%"
"28/01/2022","188,36","187,53","188,67","187,34","12,03B","0,42%"
"27/01/2022","187,57","188,16","188,59","186,92","9,56B","-0,39%"
"26/01/2022","188,31","187,03","188,31","186,67","13,38B","1,00%"
"25/01/2022","186,45","188,04","188,09","185,52","11,87B","-0,93%"
"24/01/2022","188,21","189,34","189,65","187,90","9,00B","-0,82%"
"21/01/2022","189,77","186,72","189,77","186,36","10,64B","1,66%"
"20/01/2022","186,66","185,84","187,22","185,70","8,29B","0,68%"
"19/01/2022","185,41","185,36","185,77","184,56","9,92B","0,03%"
"18/01/2022","185,35","186,51","187,08","183,48","9,96B","-0,48%"
"17/01/2022","186,25","188,29","188,63","185,73","8,15B","-0,95%"
"14/01/2022","188,03","187,35","188,21","186,74","8,42B","0,28%"
"13/01/2022","187,51","187,72","187,96","186,60","10,81B","0,17%"
"12/01/2022","187,19","187,26","188,51","186,61","11,15B","0,29%"
"11/01/2022","186,65","189,33","189,82","186,51","11,59B","-1,23%"
"10/01/2022","188,97","190,29","190,62","188,97","8,70B","-0,56%"
"07/01/2022","190,04","189,00","190,38","188,37","7,36B","0,65%"
"06/01/2022","188,80","189,47","189,68","187,13","9,47B","-0,29%"
"05/01/2022","189,36","191,38","191,96","189,00","9,88B","-0,97%"
"04/01/2022","191,21","190,95","191,71","190,82","10,73B","0,24%"
"03/01/2022","190,76","188,90","191,15","188,89","10,77B","0,92%"
"30/12/2021","189,02","189,65","189,97","188,75","11,65B","-0,28%"
"29/12/2021","189,54","189,42","190,14","189,06","12,00B","0,18%"
"28/12/2021","189,21","188,98","189,98","188,97","10,57B","0,25%"
"27/12/2021","188,74","188,35","188,90","188,21","10,76B","0,40%"
"24/12/2021","187,98","187,32","188,33","187,30","9,33B","0,42%"
"23/12/2021","187,20","186,57","187,52","186,43","12,54B","0,39%"
"22/12/2021","186,48","187,66","188,17","186,48","9,77B","-0,44%"
"21/12/2021","187,30","186,56","187,66","186,16","11,29B","0,51%"
"20/12/2021","186,36","187,40","187,50","185,99","10,40B","-0,79%"
"17/12/2021","187,84","187,24","187,84","186,60","10,29B","0,00%"
"16/12/2021","187,84","189,38","190,23","187,30","10,17B","-0,54%"
"15/12/2021","188,86","189,17","189,78","188,62","11,48B","-0,25%"
"14/12/2021","189,33","190,46","190,68","188,71","9,80B","-0,42%"
"13/12/2021","190,13","190,15","190,83","190,06","10,34B","0,09%"
"10/12/2021","189,96","188,28","189,96","187,92","10,86B","0,62%"
"09/12/2021","188,79","187,68","188,79","187,31","13,25B","0,75%"
"08/12/2021","187,39","187,71","188,29","186,98","10,72B","-0,09%"
"07/12/2021","187,56","187,22","187,65","186,74","8,38B","0,30%"
"06/12/2021","186,99","186,71","187,83","185,83","9,92B","0,21%"
"03/12/2021","186,60","187,32","187,91","186,40","7,61B","-0,45%"
"02/12/2021","187,44","186,07","187,65","185,41","8,75B","0,90%"
"01/12/2021","185,76","187,04","188,23","185,47","11,45B","-0,41%"
"30/11/2021","186,52","188,33","189,25","186,52","10,57B","-0,84%"
"29/11/2021","188,10","187,23","188,29","185,54","","0,29%"
"26/11/2021","187,55","190,95","191,00","186,78","13,16B","-1,81%"
"25/11/2021","191,00","191,13","192,66","190,84","11,51B","0,33%"
"24/11/2021","190,37","190,87","191,02","190,14","10,09B","-0,01%"
"23/11/2021","190,39","191,04","191,62","189,82","10,11B","-0,23%"
"22/11/2021","190,82","191,10","191,76","189,90","12,34B","-0,07%"
"19/11/2021","190,95","187,98","190,95","187,98","11,34B","1,77%"
"18/11/2021","187,63","187,95","188,40","187,14","13,28B","-0,14%"
"17/11/2021","187,89","188,40","188,76","187,48","8,77B","-0,09%"
"16/11/2021","188,05","186,82","188,24","186,82","10,21B","0,58%"
"15/11/2021","186,96","188,16","188,66","186,70","9,96B","-0,58%"
"12/11/2021","188,06","188,43","188,97","187,82","7,57B","-0,05%"
"11/11/2021","188,15","188,40","188,76","187,85","8,34B","-0,04%"
"10/11/2021","188,23","188,00","188,92","187,82","8,31B","-0,02%"
"09/11/2021","188,27","187,01","188,27","186,97","6,97B","0,80%"
"08/11/2021","186,78","186,37","186,86","185,87","6,63B","0,42%"
"05/11/2021","186,01","186,24","186,62","185,06","8,19B","-0,12%"
"04/11/2021","186,22","185,54","186,89","185,54","7,97B","0,80%"
"03/11/2021","184,75","183,32","184,77","183,04","8,75B","0,80%"
"02/11/2021","183,28","184,99","185,48","182,85","9,79B","-0,86%"
"01/11/2021","184,87","186,05","186,50","184,84","9,58B","-0,49%"
"29/10/2021","185,79","184,61","185,95","184,32","7,94B","0,82%"
"28/10/2021","184,28","186,99","187,06","183,72","9,50B","-1,45%"
"27/10/2021","186,99","187,82","188,16","186,53","7,94B","-0,26%"
"26/10/2021","187,48","187,14","188,35","187,13","8,76B","0,46%"
"25/10/2021","186,63","186,68","187,64","186,38","7,82B","0,06%"
"22/10/2021","186,51","186,64","186,92","185,13","7,56B","-0,46%"
"21/10/2021","187,38","188,64","189,35","186,54","10,21B","-0,49%"
"19/10/2021","188,29","188,86","189,55","187,51","9,38B","-0,29%"
"18/10/2021","188,84","188,64","189,56","188,31","7,89B","0,33%"
"15/10/2021","188,21","188,99","189,89","187,24","7,17B","-0,13%"
"14/10/2021","188,46","185,45","188,46","185,45","8,79B","1,78%"
"13/10/2021","185,16","184,89","185,54","184,52","9,99B","0,09%"
"12/10/2021","184,99","185,06","186,17","184,57","10,03B","-0,08%"
"11/10/2021","185,15","185,77","186,30","184,86","10,31B","-0,18%"
"08/10/2021","185,48","184,59","186,19","184,53","9,79B","0,68%"
"07/10/2021","184,22","183,29","185,54","182,92","9,41B","0,21%"
"06/10/2021","183,83","182,22","184,38","181,66","9,34B","1,45%"
"05/10/2021","181,20","182,90","183,74","180,90","10,56B","-0,82%"
"04/10/2021","182,70","179,80","182,72","179,80","12,64B","1,71%"
"01/10/2021","179,62","181,30","181,46","179,14","10,54B","-1,06%"
"30/09/2021","181,54","178,75","181,54","178,75","10,63B","1,69%"
"29/09/2021","178,53","176,18","178,53","175,87","11,72B","0,97%"
"28/09/2021","176,81","175,99","176,81","175,77","14,56B","0,63%"
"27/09/2021","175,70","176,35","177,04","175,19","12,82B","-0,33%"
"24/09/2021","176,28","176,01","176,52","175,31","10,05B","0,30%"
"23/09/2021","175,75","175,63","176,26","175,29","12,21B","0,32%"
"22/09/2021","175,19","174,31","175,45","174,30","10,36B","0,62%"
"21/09/2021","174,11","173,12","174,31","171,58","10,29B","0,33%"
"20/09/2021","173,54","175,53","175,67","173,18","9,64B","-1,20%"
"17/09/2021","175,65","175,01","175,65","174,51","9,97B","0,09%"
"16/09/2021","175,49","176,09","176,69","175,05","10,70B","-0,16%"
"15/09/2021","175,77","175,59","176,10","175,33","11,22B","-0,01%"
"14/09/2021","175,79","174,26","175,80","174,24","11,42B","1,00%"
"13/09/2021","174,05","174,10","174,35","172,88","8,01B","-0,20%"
"10/09/2021","174,40","173,39","174,58","173,02","8,19B","0,67%"
"09/09/2021","173,24","172,49","173,44","171,11","10,20B","0,51%"
"08/09/2021","172,36","174,96","175,08","171,54","9,94B","-1,48%"
"07/09/2021","174,96","175,86","176,20","174,57","10,62B","-0,53%"
"06/09/2021","175,89","175,44","176,02","174,81","11,43B","0,36%"
"03/09/2021","175,26","174,14","175,26","173,70","11,00B","0,76%"
"02/09/2021","173,93","174,29","174,57","173,34","12,30B","-0,08%"
"01/09/2021","174,07","176,14","176,50","174,00","11,33B","-0,96%"
"31/08/2021","175,75","175,95","176,30","175,09","10,94B","0,11%"
"30/08/2021","175,56","173,01","175,56","173,01","10,27B","1,78%"
"27/08/2021","172,49","172,95","173,21","171,99","10,26B","-0,30%"
"26/08/2021","173,01","174,42","174,84","172,41","11,03B","-0,84%"
"25/08/2021","174,48","174,64","175,23","173,86","12,15B","0,04%"
"24/08/2021","174,41","175,16","176,10","173,17","15,55B","-0,30%"
"23/08/2021","174,93","172,49","174,93","172,49","10,84B","1,69%"
"20/08/2021","172,02","170,82","172,02","169,70","11,16B","0,56%"
"19/08/2021","171,07","174,13","174,15","170,13","15,94B","-1,82%"
"18/08/2021","174,24","174,31","174,74","172,47","13,90B","0,05%"
"16/08/2021","174,15","176,18","176,31","173,28","11,62B","-1,08%"
"13/08/2021","176,05","176,61","177,33","175,29","11,38B","-0,13%"
"12/08/2021","176,27","174,26","176,27","172,97","12,16B","1,61%"
"10/08/2021","173,48","175,04","175,42","171,97","10,54B","-0,84%"
"09/08/2021","174,96","177,39","179,19","174,56","15,98B","-1,44%"
"06/08/2021","177,52","177,07","179,15","177,07","12,00B","0,52%"
"05/08/2021","176,59","177,10","177,63","176,40","12,75B","-0,19%"
"04/08/2021","176,94","176,91","177,35","176,12","12,80B","0,11%"
"03/08/2021","176,74","176,92","177,58","176,71","10,75B","-0,05%"
"02/08/2021","176,83","175,87","176,95","174,94","13,19B","0,79%"
"30/07/2021","175,44","177,19","177,97","175,42","12,52B","-0,81%"
"29/07/2021","176,87","175,72","177,26","175,63","12,14B","0,88%"
"28/07/2021","175,34","175,84","176,47","174,93","8,84B","-0,28%"
"27/07/2021","175,83","176,29","176,99","174,63","11,33B","-0,04%"
"26/07/2021","175,90","175,91","177,13","175,66","8,37B","0,07%"
"23/07/2021","175,78","177,26","177,64","175,34","8,31B","-0,79%"
"22/07/2021","177,18","175,00","177,18","175,00","8,46B","1,42%"
"21/07/2021","174,70","174,86","175,71","174,16","7,45B","-0,09%"
"19/07/2021","174,86","175,51","175,82","174,61","7,10B","-0,48%"
"16/07/2021","175,71","175,26","176,05","175,16","7,27B","0,42%"
"15/07/2021","174,98","173,78","174,98","173,69","10,37B","0,73%"
"14/07/2021","173,71","173,95","174,65","172,61","9,45B","-0,18%"
"13/07/2021","174,02","177,16","177,46","173,91","8,87B","-1,45%"
"12/07/2021","176,57","176,76","177,62","176,32","8,03B","0,21%"
"09/07/2021","176,20","175,47","176,66","175,34","7,56B","0,45%"
"08/07/2021","175,40","176,18","176,87","175,09","9,75B","-0,26%"
"07/07/2021","175,87","175,47","175,87","174,76","9,26B","0,23%"
"06/07/2021","175,46","172,75","175,49","172,71","10,42B","1,78%"
"05/07/2021","172,39","173,53","173,97","171,87","9,63B","-0,51%"
"02/07/2021","173,28","173,40","174,02","173,03","10,52B","0,03%"
"01/07/2021","173,23","172,43","173,67","171,63","10,37B","0,75%"
"30/06/2021","171,95","171,33","172,30","171,16","14,43B","0,47%"
"29/06/2021","171,14","171,58","173,15","170,35","14,31B","-0,08%"
"28/06/2021","171,27","173,27","173,79","171,18","9,56B","-0,98%"
"25/06/2021","172,96","172,59","173,74","172,41","10,27B","0,48%"
"24/06/2021","172,13","173,28","173,83","172,01","12,09B","-0,67%"
"23/06/2021","173,30","174,14","175,27","173,30","14,23B","-0,28%"
"22/06/2021","173,78","171,72","174,63","171,72","9,31B","1,45%"
"21/06/2021","171,29","169,34","172,41","167,02","10,26B","0,09%"
"18/06/2021","171,13","173,84","174,08","169,64","14,38B","-1,59%"
"17/06/2021","173,90","173,87","174,86","173,61","15,81B","-0,29%"
"16/06/2021","174,41","174,11","175,05","173,63","10,71B","-0,05%"
"15/06/2021","174,50","173,52","174,50","172,92","11,22B","0,55%"
"14/06/2021","173,54","174,84","175,04","173,29","12,97B","-0,72%"
"11/06/2021","174,80","174,71","175,25","173,90","8,48B","0,27%"
"10/06/2021","174,32","173,97","175,03","173,97","11,94B","0,27%"
"09/06/2021","173,84","173,08","173,96","172,47","9,81B","0,02%"
"08/06/2021","173,80","176,43","176,74","173,52","12,39B","-1,60%"
"07/06/2021","176,62","176,95","177,47","176,19","10,46B","0,06%"
"04/06/2021","176,52","177,77","177,87","176,22","7,78B","-0,80%"
"03/06/2021","177,95","176,67","177,95","175,80","9,05B","0,61%"
"02/06/2021","176,87","175,60","176,87","175,30","10,43B","1,35%"
"31/05/2021","174,51","172,31","174,51","171,98","9,10B","1,49%"
"28/05/2021","171,94","172,75","173,48","170,81","8,22B","-0,15%"
"27/05/2021","172,19","170,72","172,98","170,51","11,72B","1,23%"
"25/05/2021","170,09","169,28","171,04","169,06","9,81B","0,75%"
"24/05/2021","168,82","170,62","171,00","168,49","9,00B","-0,80%"
"21/05/2021","170,19","172,07","172,71","169,48","7,99B","-0,80%"
"20/05/2021","171,55","170,06","171,73","169,66","7,96B","0,84%"
"19/05/2021","170,13","171,75","172,19","169,68","10,33B","-1,13%"
"18/05/2021","172,07","171,32","172,30","169,95","12,68B","0,60%"
"17/05/2021","171,03","175,51","175,78","170,72","11,37B","-2,33%"
"11/05/2021","175,12","176,22","176,28","174,69","8,48B","-0,83%"
"10/05/2021","176,59","175,33","176,85","175,25","8,07B","1,02%"
"07/05/2021","174,81","176,14","176,69","174,54","7,65B","-0,56%"
"06/05/2021","175,79","176,35","177,11","175,19","8,45B","-0,28%"
"05/05/2021","176,29","176,11","176,90","175,99","9,20B","0,09%"
"04/05/2021","176,14","176,09","176,52","175,28","9,94B","0,13%"
"03/05/2021","175,92","177,07","177,22","175,31","10,44B","-0,68%"
"30/04/2021","177,12","177,78","177,96","176,34","9,86B","-0,04%"
"29/04/2021","177,20","176,31","177,29","176,24","9,51B","0,72%"
"28/04/2021","175,92","174,91","175,92","174,68","9,67B","0,66%"
"27/04/2021","174,78","176,15","176,55","174,25","8,80B","-0,61%"
"26/04/2021","175,86","176,70","177,40","175,22","8,73B","-0,42%"
"23/04/2021","176,60","176,77","176,87","175,73","11,03B","-0,04%"
"22/04/2021","176,68","177,26","177,84","175,98","9,75B","-0,15%"
"21/04/2021","176,94","177,23","177,59","176,52","8,50B","-0,51%"
"20/04/2021","177,84","178,07","178,46","177,05","7,76B","-0,20%"
"19/04/2021","178,21","179,31","179,73","177,75","12,48B","-0,62%"
"16/04/2021","179,32","178,85","179,44","178,29","11,66B","0,39%"
"15/04/2021","178,63","177,32","178,63","176,88","9,19B","0,75%"
"14/04/2021","177,31","175,05","177,31","175,00","8,99B","1,51%"
"13/04/2021","174,67","175,22","175,33","173,16","6,47B","-0,22%"
"12/04/2021","175,06","179,01","179,44","174,88","8,15B","-2,23%"
"09/04/2021","179,05","180,34","180,62","179,05","9,81B","-0,64%"
"08/04/2021","180,21","179,03","180,21","178,86","10,35B","0,66%"
"07/04/2021","179,03","178,32","179,12","177,73","8,24B","0,60%"
"06/04/2021","177,97","177,05","178,14","176,13","7,81B","0,74%"
"05/04/2021","176,65","178,72","179,23","176,46","7,85B","-0,71%"
"01/04/2021","177,92","176,85","178,25","176,20","6,93B","0,58%"
"31/03/2021","176,89","178,59","178,71","173,90","7,15B","-0,98%"
"30/03/2021","178,64","181,55","181,81","177,80","7,10B","-1,64%"
"29/03/2021","181,61","182,30","183,60","181,29","6,98B","-0,29%"
"26/03/2021","182,13","180,55","182,13","179,60","7,22B","1,18%"
"25/03/2021","180,01","180,43","181,35","177,42","8,22B","-0,14%"
"24/03/2021","180,26","182,14","182,49","179,81","7,18B","-1,41%"
"23/03/2021","182,84","184,31","185,25","182,64","8,73B","-0,57%"
"22/03/2021","183,89","184,44","184,93","183,62","7,17B","-0,22%"
"19/03/2021","184,29","183,63","184,29","183,02","9,58B","0,16%"
"18/03/2021","183,99","183,28","184,50","183,19","8,95B","0,88%"
"17/03/2021","182,40","183,17","183,76","182,35","7,95B","-0,25%"
"16/03/2021","182,85","183,12","183,98","182,48","9,42B","0,03%"
"15/03/2021","182,79","183,95","184,62","182,76","7,67B","-0,48%"
"12/03/2021","183,68","180,87","183,86","180,86","9,43B","2,10%"
"10/03/2021","179,90","178,88","180,25","178,38","7,70B","0,96%"
"09/03/2021","178,19","180,10","180,40","177,34","13,19B","-0,71%"
"08/03/2021","179,47","180,41","181,39","178,89","8,81B","0,03%"
"05/03/2021","179,41","180,47","181,03","179,15","10,05B","-1,19%"
"04/03/2021","181,57","183,58","183,64","180,99","10,53B","-1,43%"
"03/03/2021","184,20","185,39","185,90","183,91","10,24B","-0,35%"
"02/03/2021","184,85","184,28","185,04","183,71","11,10B","0,60%"
"01/03/2021","183,76","183,93","184,19","182,40","11,27B","0,21%"
"26/02/2021","183,36","182,94","184,26","180,78","12,91B","-0,71%"
"25/02/2021","184,68","183,95","185,13","183,94","14,17B","0,90%"
"24/02/2021","183,04","184,95","185,37","182,51","8,16B","-0,82%"
"23/02/2021","184,54","183,85","184,88","183,26","7,62B","0,64%"
"22/02/2021","183,36","183,34","185,02","183,11","7,83B","0,45%"
"19/02/2021","182,55","182,35","182,87","181,18","7,21B","0,13%"
"18/02/2021","182,32","183,57","184,75","182,25","9,23B","-0,51%"
"17/02/2021","183,26","185,80","186,31","182,41","9,88B","-1,30%"
"16/02/2021","185,68","185,73","186,48","185,40","8,93B","0,17%"
"15/02/2021","185,37","184,18","185,62","184,17","7,53B","0,93%"
"11/02/2021","183,67","183,23","183,73","182,63","6,16B","0,44%"
"10/02/2021","182,86","182,45","183,07","181,59","8,54B","0,38%"
"09/02/2021","182,17","184,55","185,63","180,94","10,24B","-1,04%"
"08/02/2021","184,09","182,96","184,67","182,96","9,31B","1,04%"
"05/02/2021","182,19","180,98","182,27","179,76","7,49B","1,06%"
"04/02/2021","180,28","180,12","182,41","179,04","8,73B","0,46%"
"03/02/2021","179,45","179,62","181,13","178,15","9,03B","0,12%"
"02/02/2021","179,23","180,99","182,46","178,08","11,69B","-0,36%"
"01/02/2021","179,87","172,26","180,19","169,36","13,42B","4,44%"
"29/01/2021","172,23","175,52","177,02","171,08","10,42B","-1,44%"
"28/01/2021","174,74","178,01","179,18","173,89","10,67B","-2,61%"
"27/01/2021","179,42","180,76","180,77","175,67","12,20B","-0,39%"
"26/01/2021","180,13","183,41","184,23","179,28","11,14B","-1,69%"
"25/01/2021","183,23","184,61","184,62","179,37","11,00B","-0,91%"
"22/01/2021","184,91","188,84","189,17","184,12","10,46B","-2,20%"
"21/01/2021","189,07","190,50","191,59","188,63","11,44B","-0,29%"
"20/01/2021","189,63","186,64","189,94","185,13","11,98B","1,61%"
"19/01/2021","186,63","190,04","190,67","185,78","13,64B","-1,37%"
"18/01/2021","189,21","189,24","190,81","187,52","20,42B","-0,13%"
"15/01/2021","189,45","190,94","191,83","188,55","15,89B","-0,49%"
"14/01/2021","190,39","190,33","191,76","189,49","18,89B","0,23%"
"13/01/2021","189,95","190,24","190,97","188,09","22,66B","0,56%"
"12/01/2021","188,90","189,40","190,76","187,96","14,24B","-0,05%"
"11/01/2021","189,00","187,19","189,22","187,16","14,40B","1,05%"
"08/01/2021","187,05","184,82","187,70","184,82","15,59B","1,88%"
"07/01/2021","183,59","180,90","184,09","180,78","15,58B","1,76%"
"06/01/2021","180,41","182,76","183,76","177,70","13,83B","-1,17%"
"05/01/2021","182,55","181,71","182,86","180,72","12,24B","0,37%"
"04/01/2021","181,87","178,10","181,87","175,91","13,43B","2,47%"
"30/12/2020","177,48","179,83","179,92","176,64","11,97B","-1,14%"
"29/12/2020","179,54","182,40","183,50","179,15","12,26B","-1,07%"
"28/12/2020","181,48","180,27","181,48","177,78","13,30B","1,47%"
"23/12/2020","178,86","180,15","181,56","173,93","14,24B","-0,35%"
"22/12/2020","179,49","184,38","184,80","179,02","16,14B","-2,78%"
"21/12/2020","184,63","181,88","185,19","181,88","15,12B","1,80%"
"18/12/2020","181,36","180,69","182,34","180,60","17,60B","0,37%"
"17/12/2020","180,70","182,29","183,21","179,64","22,40B","-0,69%"
"16/12/2020","181,96","178,56","182,09","178,56","22,92B","2,39%"
"15/12/2020","177,72","177,95","178,30","176,33","14,36B","-0,08%"
"14/12/2020","177,87","175,68","177,87","175,68","16,54B","1,64%"
"11/12/2020","174,99","174,93","175,63","174,29","15,74B","0,45%"
"10/12/2020","174,21","174,83","176,03","173,31","19,54B","-0,11%"
"08/12/2020","174,40","174,49","175,13","173,55","22,51B","0,27%"
"07/12/2020","173,93","170,88","174,27","170,88","16,16B","2,36%"
"04/12/2020","169,91","170,25","170,38","168,97","11,47B","-0,15%"
"03/12/2020","170,17","170,95","171,71","169,59","15,13B","-0,22%"
"02/12/2020","170,54","168,14","170,54","167,75","14,10B","1,79%"
"01/12/2020","167,54","165,70","167,65","164,00","14,24B","1,47%"
"30/11/2020","165,11","169,87","170,45","163,62","20,47B","-2,76%"
"27/11/2020","169,80","169,04","170,29","168,07","16,99B","0,64%"
"26/11/2020","168,73","165,99","168,73","165,99","16,47B","1,80%"
"25/11/2020","165,74","167,69","168,75","165,43","23,60B","-0,74%"
"24/11/2020","166,99","166,34","167,32","166,09","18,12B","0,90%"
"23/11/2020","165,50","162,91","165,50","162,91","14,46B","1,96%"
"20/11/2020","162,32","162,92","163,82","162,11","17,69B","-0,12%"
"19/11/2020","162,51","161,74","162,81","161,56","12,27B","0,31%"
"18/11/2020","162,00","161,56","162,87","161,56","9,87B","0,34%"
"17/11/2020","161,46","160,81","162,39","160,81","11,06B","0,71%"
"16/11/2020","160,33","159,63","160,43","159,33","9,18B","1,02%"
"13/11/2020","158,71","158,82","158,96","158,04","8,19B","-0,35%"
"12/11/2020","159,27","159,30","159,67","158,55","8,02B","-0,12%"
"11/11/2020","159,47","158,64","160,08","158,28","10,77B","1,08%"
"10/11/2020","157,76","157,71","158,55","157,02","9,99B","1,02%"
"09/11/2020","156,16","156,72","157,47","155,47","8,72B","0,03%"
"06/11/2020","156,12","154,28","156,16","153,61","7,54B","1,55%"
"05/11/2020","153,74","151,45","153,74","151,43","7,39B","2,54%"
"04/11/2020","149,93","151,29","152,03","149,84","7,46B","-0,66%"
"03/11/2020","150,92","150,13","151,19","150,13","7,15B","1,02%"
"02/11/2020","149,40","149,92","150,16","148,68","7,06B","-0,71%"
"27/10/2020","150,47","150,79","151,38","149,92","7,87B","-0,53%"
"26/10/2020","151,26","151,24","151,75","150,97","8,26B","0,06%"
"23/10/2020","151,17","151,30","151,72","150,74","7,35B","0,14%"
"22/10/2020","150,95","150,74","151,09","150,28","10,05B","0,02%"
"21/10/2020","150,92","150,90","151,46","150,55","8,37B","0,24%"
"20/10/2020","150,56","150,65","151,26","150,00","6,70B","-0,05%"
"19/10/2020","150,64","150,75","151,20","150,09","8,89B","0,35%"
"16/10/2020","150,12","149,71","150,12","148,69","6,85B","0,35%"
"15/10/2020","149,60","151,19","151,68","149,47","8,10B","-0,99%"
"14/10/2020","151,09","149,30","151,24","149,19","7,33B","1,19%"
"13/10/2020","149,32","148,55","149,34","147,52","6,80B","0,51%"
"12/10/2020","148,57","148,93","149,30","148,48","5,71B","0,22%"
"09/10/2020","148,25","147,93","148,32","147,59","5,15B","0,20%"
"08/10/2020","147,96","147,10","147,96","146,73","6,11B","0,80%"
"07/10/2020","146,78","146,66","147,22","145,98","7,03B","-0,07%"
"06/10/2020","146,88","146,97","147,64","146,63","8,93B","0,58%"
"05/10/2020","146,03","146,05","146,66","145,35","5,37B","0,30%"
"02/10/2020","145,60","146,64","146,89","144,26","6,54B","-0,76%"
"01/10/2020","146,70","144,45","146,70","144,45","7,68B","2,01%"
"30/09/2020","143,81","143,86","144,28","142,78","6,57B","0,17%"
"29/09/2020","143,57","144,80","145,24","142,88","6,41B","-0,48%"
"28/09/2020","144,26","145,06","145,93","144,20","6,50B","-0,30%"
"25/09/2020","144,70","142,68","144,85","142,11","6,82B","1,73%"
"24/09/2020","142,24","143,47","143,57","141,26","4,95B","-1,58%"
"23/09/2020","144,52","145,08","146,11","143,20","5,33B","-0,17%"
"22/09/2020","144,76","144,83","145,52","143,70","5,61B","-0,92%"
"21/09/2020","146,10","148,09","148,46","145,66","8,73B","-1,32%"
"18/09/2020","148,06","146,80","148,06","146,79","7,42B","1,01%"
"17/09/2020","146,58","147,04","147,70","145,81","5,93B","-0,23%"
"16/09/2020","146,92","147,93","148,29","146,55","6,66B","-0,70%"
"15/09/2020","147,96","149,61","150,10","147,50","8,80B","-0,85%"
"14/09/2020","149,23","146,83","149,23","146,76","8,61B","2,49%"
"11/09/2020","145,60","138,99","145,60","137,66","8,86B","2,80%"
"10/09/2020","141,63","146,50","146,50","140,94","5,87B","-4,53%"
"09/09/2020","148,35","150,43","150,59","148,25","7,84B","-1,95%"
"08/09/2020","151,29","151,45","152,03","151,01","7,25B","-0,11%"
"07/09/2020","151,46","150,93","151,61","150,18","5,24B","0,32%"
"04/09/2020","150,98","151,85","151,85","149,43","5,65B","-0,57%"
"03/09/2020","151,85","152,82","153,23","150,89","6,43B","-0,63%"
"02/09/2020","152,82","152,31","153,17","152,15","8,44B","0,33%"
"01/09/2020","152,31","150,76","152,31","150,24","6,80B","1,03%"
"31/08/2020","150,76","153,21","153,85","150,15","9,23B","-1,60%"
"28/08/2020","153,21","153,48","153,87","152,66","7,84B","-0,18%"
"27/08/2020","153,48","153,30","153,86","152,93","9,56B","0,11%"
"26/08/2020","153,30","153,00","153,77","152,88","8,77B","0,20%"
"25/08/2020","153,00","152,05","153,33","152,04","9,99B","0,63%"
"24/08/2020","152,05","152,05","152,76","151,72","8,92B","0,00%"
"19/08/2020","152,05","152,86","153,36","151,89","7,04B","-0,53%"
"18/08/2020","152,86","151,98","153,22","151,87","6,56B","0,58%"
"14/08/2020","151,98","152,24","152,60","151,82","5,22B","-0,17%"
"13/08/2020","152,24","151,73","153,10","151,70","5,33B","0,34%"
"12/08/2020","151,73","151,46","151,73","150,78","6,08B","0,18%"
"11/08/2020","151,46","151,25","152,23","151,18","5,36B","0,13%"
"10/08/2020","151,25","151,26","151,90","150,84","4,09B","-0,01%"
"07/08/2020","151,26","152,07","152,69","150,48","4,84B","-0,53%"
"06/08/2020","152,07","150,53","152,29","150,53","6,24B","1,03%"
"05/08/2020","150,53","147,95","150,60","147,95","6,20B","1,74%"
"04/08/2020","147,95","146,04","148,01","146,04","5,19B","1,30%"
"03/08/2020","146,04","150,13","150,59","143,34","5,64B","-2,72%"
"30/07/2020","150,13","149,25","150,13","149,01","5,69B","0,59%"
"29/07/2020","149,25","149,31","149,54","148,67","6,10B","-0,04%"
"28/07/2020","149,31","149,78","150,21","148,75","5,78B","-0,31%"
"27/07/2020","149,78","149,70","150,61","149,38","7,02B","0,05%"
"24/07/2020","149,70","150,77","151,22","149,41","7,57B","-0,71%"
"23/07/2020","150,77","149,69","151,18","149,69","7,03B","0,72%"
"22/07/2020","149,69","149,66","150,89","149,29","4,71B","0,02%"
"21/07/2020","149,66","148,02","150,29","147,92","6,19B","1,11%"
"20/07/2020","148,02","148,84","149,52","147,49","4,39B","-0,55%"
"17/07/2020","148,84","149,06","149,54","148,46","4,11B","-0,14%"
"16/07/2020","149,06","148,65","149,74","148,65","4,43B","0,27%"
"15/07/2020","148,65","148,33","149,56","148,33","5,80B","0,22%"
"14/07/2020","148,33","147,70","148,33","147,47","4,51B","0,43%"
"13/07/2020","147,70","146,55","147,88","146,55","4,46B","0,78%"
